1	2	48.646	60.636
2	3	48.921	62.104
3	4	48.096	62.104
4	5	47.086	62.746
5	6	49.013	63.021
6	7	50.298	62.838
7	8	51.215	62.654
8	9	50.389	61.645
9	10	50.389	60.544
10	11	48.279	60.361
11	12	47.729	60.269
12	13	45.619	60.269
13	14	44.609	59.627
14	15	44.793	58.893
15	16	43.6	58.159
16	17	43.417	58.617
17	18	44.334	57.7
18	19	43.325	59.627
19	20	42.316	59.627
20	21	39.655	60.452
21	22	37.912	61.828
22	23	37.453	61.553
23	24	37.453	62.379
24	25	36.628	62.654
25	26	38.096	63.48
26	27	38.096	62.471
27	28	36.444	61.828
28	29	35.16	63.021
29	30	33.784	62.287
30	31	33.417	61.92
31	32	31.582	60.728
32	33	32.775	61.462
33	34	33.05	61.186
34	35	34.701	62.104
35	36	35.894	61.37
36	37	35.894	62.471
37	38	37.912	62.195
38	39	37.545	63.021
39	40	34.242	63.48
40	41	33.325	63.113
41	42	33.784	63.755
42	43	33.6	62.287
43	44	34.518	62.654
44	45	34.701	62.838
45	46	36.169	62.562
46	47	36.169	62.012
47	48	34.518	61.003
48	49	34.976	62.287
49	50	36.353	61.462
50	51	38.187	60.544
51	52	39.197	59.168
52	53	40.94	57.884
53	54	41.765	57.241
54	55	42.041	55.59
55	56	43.875	55.865
56	57	44.609	55.59
57	58	45.802	55.957
58	59	45.986	55.315
59	60	47.178	55.315
60	61	48.554	55.131
61	62	46.353	55.865
62	63	46.444	56.416
63	64	44.701	56.232
64	65	44.151	56.416
65	66	43.233	56.599
66	67	44.701	55.59
67	68	45.527	55.773
68	69	44.793	55.498
69	70	45.619	55.406
70	71	45.619	56.049
71	72	46.811	55.682
72	73	46.261	54.306
73	74	43.784	53.205
74	75	43.875	53.48
75	76	43.875	53.205
76	77	43.233	53.847
77	78	42.683	52.654
78	79	42.041	52.104
79	80	41.398	53.847
80	81	42.041	54.673
81	82	40.298	55.59
82	83	40.573	55.59
83	84	39.655	57.884
84	85	39.747	57.792
85	86	39.839	59.718
86	87	38.096	58.25
87	88	38.096	57.333
88	89	37.637	57.792
89	90	35.619	57.333
90	91	35.252	56.966
91	92	34.242	56.416
92	93	35.527	52.562
93	94	36.903	52.562
94	95	37.178	53.021
95	96	38.738	54.214
96	97	38.187	53.48
97	98	37.637	53.205
98	99	38.738	52.471
99	100	38.279	52.746
100	101	38.463	53.021
101	102	38.463	55.315
102	103	39.655	54.673
103	104	40.573	55.957
104	105	41.582	55.957
105	106	42.041	56.14
106	107	43.142	57.7
107	108	42.591	58.25
108	109	42.775	58.25
109	110	42.408	59.351
110	111	42.499	57.7
111	112	43.6	56.416
112	113	41.765	57.333
113	114	39.931	57.792
114	115	38.554	57.425
115	116	38.554	56.324
116	117	38.554	55.223
117	118	39.655	54.581
118	119	41.031	54.856
119	120	40.206	55.131
120	121	39.288	54.764
121	122	38.921	53.572
122	123	39.931	53.113
123	124	39.655	52.012
124	125	39.013	51.462
125	126	39.288	51.737
126	127	39.105	52.929
127	128	41.215	51.37
128	129	40.022	51.278
129	130	41.307	51.278
130	131	42.408	52.746
131	132	43.967	51.462
132	133	43.325	51.186
133	134	44.059	49.994
134	135	42.958	49.351
135	136	42.041	49.351
136	137	41.765	49.718
137	138	40.573	48.342
138	139	38.004	48.342
139	140	38.463	49.81
140	141	40.664	49.718
141	142	41.398	49.26
142	143	43.142	47.975
143	144	43.142	47.425
144	145	43.692	47.241
145	146	44.609	47.608
146	147	44.609	49.26
147	148	46.903	49.26
148	149	47.637	49.076
149	150	47.82	47.975
150	151	48.096	47.241
151	152	46.903	47.792
152	153	45.71	48.709
153	154	44.976	51.278
154	155	45.252	51.92
155	156	45.252	52.104
156	157	46.169	53.939
157	158	45.986	51.92
158	159	46.811	51.186
159	160	47.178	50.361
160	161	47.178	49.902
