Pendel 1 in Ruhe
Pendel 2 ausgelenkt
6.208 0.280 -6.367
6.233 0.035 -6.901
6.258 -0.210 -7.266
6.283 -0.525 -7.509
6.308 -0.805 -7.776
6.333 -1.260 -7.873
6.358 -1.610 -7.873
6.383 -1.995 -7.703
6.408 -2.380 -7.484
6.433 -2.765 -7.144
6.458 -3.185 -6.658
6.483 -3.570 -6.172
6.508 -3.920 -5.613
6.533 -4.305 -4.933
6.558 -4.655 -4.204
6.583 -5.040 -3.353
6.608 -5.215 -2.503
6.633 -5.425 -1.507
6.658 -5.600 -0.705
6.683 -5.950 0.292
6.708 -6.055 1.312
6.733 -6.125 2.260
6.758 -6.020 3.135
6.783 -5.985 4.155
6.808 -5.950 5.030
6.833 -5.775 5.856
6.858 -5.635 6.634
6.883 -5.355 7.363
6.908 -5.040 7.946
6.933 -4.585 8.505
6.958 -4.165 9.015
6.983 -3.780 9.331
7.008 -3.290 9.647
7.033 -2.695 9.866
7.058 -1.995 9.939
7.083 -1.470 9.939
7.108 -0.840 9.841
7.133 -0.140 9.647
7.158 0.455 9.380
7.183 1.085 9.040
7.208 1.750 8.554
7.233 2.345 8.116
7.258 2.870 7.460
7.283 3.465 6.925
7.308 3.920 6.245
7.333 4.340 5.565
7.358 4.795 4.787
7.383 5.075 4.034
7.408 5.355 3.280
7.433 5.425 2.454
7.458 5.530 1.701
7.483 5.565 0.948
7.508 5.530 0.219
7.533 5.320 -0.486
7.558 5.040 -1.142
7.583 4.760 -1.798
7.608 4.340 -2.406
7.633 3.780 -2.892
7.658 3.290 -3.329
7.683 2.730 -3.791
7.708 2.065 -4.155
7.733 1.330 -4.374
7.758 0.595 -4.568
7.783 -0.175 -4.641
7.808 -0.945 -4.690
7.833 -1.680 -4.641
7.858 -2.590 -4.544
7.883 -3.395 -4.374
7.908 -4.095 -4.107
7.933 -4.900 -3.839
7.958 -5.635 -3.451
7.983 -6.300 -3.037
8.008 -6.930 -2.551
8.033 -7.525 -2.065
8.058 -8.015 -1.507
8.083 -8.505 -0.972
8.108 -8.785 -0.437
8.133 -9.100 0.170
8.158 -9.345 0.753
8.183 -9.520 1.337
8.208 -9.450 1.895
8.233 -9.415 2.430
8.258 -9.310 2.965
8.283 -9.170 3.426
8.308 -8.820 3.937
8.333 -8.365 4.277
8.358 -7.840 4.666
8.383 -7.280 4.933
8.408 -6.650 5.176
8.433 -5.880 5.419
8.458 -5.040 5.565
8.483 -4.270 5.662
8.508 -3.290 5.735
8.533 -2.450 5.735
8.558 -1.540 5.662
8.583 -0.525 5.565
8.608 0.280 5.492
8.633 1.295 5.273
8.658 2.205 5.103
8.683 3.115 4.860
8.708 3.990 4.617
8.733 4.795 4.374
8.758 5.495 4.107
8.783 6.125 3.766
8.808 6.720 3.451
8.833 7.280 3.183
8.858 7.665 2.819
8.883 8.015 2.503
8.908 8.155 2.211
8.933 8.190 1.920
8.958 8.085 1.677
8.983 7.980 1.409
9.008 7.665 1.166
9.033 7.350 0.899
9.058 6.825 0.753
9.083 6.300 0.559
9.108 5.635 0.413
9.133 4.970 0.316
9.158 4.165 0.194
9.183 3.290 0.170
9.208 2.275 0.170
9.233 1.295 0.121
9.258 0.315 0.219
9.283 -0.665 0.219
9.308 -1.645 0.243
9.333 -2.590 0.316
9.358 -3.605 0.437
9.383 -4.585 0.559
9.408 -5.495 0.656
9.433 -6.370 0.729
9.458 -7.175 0.850
9.483 -7.945 0.972
9.508 -8.680 1.142
9.533 -9.275 1.264
9.558 -9.695 1.434
9.583 -10.185 1.434
9.608 -10.430 1.507
9.633 -10.605 1.531
9.658 -10.745 1.531
9.683 -10.675 1.531
9.708 -10.570 1.555
9.733 -10.325 1.531
9.758 -10.115 1.482
9.783 -9.765 1.409
9.808 -9.205 1.288
9.833 -8.645 1.191
9.858 -7.980 1.118
9.883 -7.245 0.996
9.908 -6.405 0.899
9.933 -5.495 0.753
9.958 -4.620 0.656
9.983 -3.640 0.559
10.008 -2.660 0.462
10.033 -1.680 0.364
10.058 -0.735 0.389
10.083 0.350 0.316
10.108 1.295 0.316
10.133 2.275 0.267
10.158 3.220 0.316
10.183 4.095 0.389
10.208 4.830 0.437
10.233 5.670 0.535
10.258 6.265 0.680
10.283 6.860 0.826
10.308 7.350 1.045
10.333 7.665 1.215
10.358 7.840 1.385
10.383 8.015 1.677
10.408 8.120 1.968
10.433 8.120 2.163
10.458 7.840 2.454
10.483 7.665 2.770
10.508 7.245 3.110
10.533 6.825 3.426
10.558 6.230 3.694
10.583 5.600 3.961
10.608 4.830 4.277
10.633 4.025 4.471
10.658 3.150 4.763
10.683 2.345 4.933
10.708 1.365 5.103
10.733 0.490 5.297
10.758 -0.490 5.370
10.783 -1.470 5.467
10.808 -2.345 5.516
10.833 -3.360 5.492
10.858 -4.340 5.492
10.883 -5.110 5.419
10.908 -5.845 5.273
10.933 -6.545 5.030
10.958 -7.210 4.836
10.983 -7.840 4.520
11.008 -8.295 4.180
11.033 -8.750 3.742
11.058 -9.065 3.378
11.083 -9.275 2.892
11.108 -9.450 2.406
11.133 -9.450 1.920
11.158 -9.485 1.361
11.183 -9.240 0.826
11.208 -9.065 0.219
11.233 -8.820 -0.389
11.258 -8.540 -0.899
11.283 -7.980 -1.409
11.308 -7.490 -2.017
11.333 -6.895 -2.479
11.358 -6.300 -2.843
11.383 -5.635 -3.280
11.408 -4.970 -3.572
11.433 -4.200 -3.888
11.458 -3.430 -4.131
11.483 -2.695 -4.325
11.508 -1.855 -4.447
11.533 -1.015 -4.423
11.558 -0.245 -4.374
11.583 0.525 -4.277
11.608 1.295 -4.131
11.633 1.995 -3.888
11.658 2.590 -3.572
11.683 3.220 -3.183
11.708 3.780 -2.722
11.733 4.270 -2.211
11.758 4.585 -1.604
11.783 4.970 -1.021
11.808 5.250 -0.364
11.833 5.425 0.267
11.858 5.425 1.021
11.883 5.530 1.750
11.908 5.460 2.527
11.933 5.320 3.280
11.958 5.005 4.010
11.983 4.620 4.739
12.008 4.410 5.419
12.033 4.025 6.124
12.058 3.500 6.755
12.083 2.940 7.314
12.108 2.380 7.897
12.133 1.750 8.383
12.158 1.050 8.870
12.183 0.560 9.161
12.208 -0.210 9.404
12.233 -0.770 9.526
12.258 -1.435 9.696
12.283 -1.960 9.623
12.308 -2.590 9.574
12.333 -3.080 9.380
12.358 -3.675 9.137
12.383 -4.130 8.699
12.408 -4.585 8.335
12.433 -4.900 7.703
12.458 -5.285 7.144
12.483 -5.600 6.488
12.508 -5.775 5.759
12.533 -5.915 4.884
12.558 -6.160 4.034
12.583 -6.125 3.183
12.608 -6.125 2.260
12.633 -6.020 1.288
12.658 -5.880 0.340
12.683 -5.670 -0.535
12.708 -5.530 -1.385
12.733 -5.250 -2.284
12.758 -5.040 -3.159
12.783 -4.690 -3.912
12.808 -4.410 -4.690
12.833 -3.990 -5.370
12.858 -3.570 -5.954
12.883 -3.220 -6.488
12.908 -2.835 -6.853
12.933 -2.485 -7.193
12.958 -2.240 -7.411
12.983 -1.750 -7.484
13.008 -1.330 -7.484
13.033 -0.910 -7.411
13.058 -0.735 -7.241
13.083 -0.315 -6.950
13.108 -0.035 -6.537
13.133 0.280 -6.075
13.158 0.455 -5.516
13.183 0.700 -4.860
13.208 0.735 -4.131
13.233 0.910 -3.353
13.258 0.910 -2.503
13.283 1.120 -1.579
13.308 1.015 -0.607
13.333 1.085 0.389
13.358 0.980 1.434
13.383 0.980 2.430
13.408 0.805 3.499
13.433 0.805 4.495
13.458 0.560 5.443
13.483 0.385 6.391
13.508 0.140 7.266
13.533 0.035 8.092
13.558 -0.175 8.870
13.583 -0.385 9.574
13.608 -0.630 10.109
13.633 -0.840 10.619
